fb_id,content
234176231267797,"|| 20/4/2020 || - Anh!!! Tại sao anh yêu em vậy??? - Anh mà biết vì sao, chắc anh không yêu em nữa rồi. Thế anh lại hỏi em, bao người theo đuổi, sao em chọn anh vậy?? - Hừm.... Vì em thích thế.... Tình yêu nó chẳng tuân theo một quy tắc nào. Đôi khi chỉ vì một lần lỡ hẹn, một cái nắm tay không chặt mà lạc mất nhau, nhưng cũng có khi chỉ là một ánh nhìn, một cử chỉ mà suốt đời không quên.  Tôi cũng trải qua vài ba mối tình, có người tôi thích, có người thích tôi. Nhưng cho đến giờ tôi vẫn ko hiểu tại sao người ta lại có thể thích mình?  Có một câu trả lời mà đến bây giờ tôi vẫn không thể nào quên: ''Trên sân trường, một chàng trai nở nụ cười thật tươi, và thế là em thích''. Sao người ta có thể thích nhau dễ dàng thế, đi chơi với nhau đôi ba lần rồi yêu nhau. Tôi không hiểu... '' Không ai yêu một người phụ nữ vì nàng đẹp hay nàng xấu, ngu ngốc hay thông minh. Chúng ta yêu vì chúng ta yêu ''_ Có lẽ Balzac nói đúng.  Trước khi có câu Trả lời khác hoàn hảo hơn. Tôi tạm tin...."
2849684375114453,"| 18 . 04 . 2020 - DÂN CÁC QUẬN NHỚ GÌ KHI CÁCH LY? Trà đá vỉa hè, bún miến cháo phở thì quận nào chẳng có. Nhưng mỗi khu lại có những kỉ niệm rất riêng. Đang ở mà vẫn nhớ nhung vô cùng, chính là cảm giác những ngày tháng cách ly biền biệt.  *Quận Ba Đình 1. Nhớ cảm giác thức dậy lúc 5h sáng rồi lên Lăng Bác xem lễ Thượng Cờ. 2. Nhớ sự đông đúc, nhộn nhịp từ 10h tối cho tới khi tờ mờ sáng của chợ Long Biên. 3. Nhớ cảm giác đi giữa hai hàng cây sấu cổ thụ trải dài trên đường Phan Đình Phùng – con đường lãng mạn nhất Hà Nội. Mùa nào cũng đẹp như thơ. 4. Nhớ cảm giác chạy bộ ở công viên Bách Thảo, công viên Lê Nin, nhớ động vật muông thú ở công viên Thủ Lệ. 5. Nhớ bánh xèo, nem lụi Đội Cấn; bún ốc Hòe Nhai; phở cuốn Ngũ Xã; caramen Hàng Than trứ danh. *Quận Hoàn Kiếm 1. Nhớ khi được hòa vào dòng người đông đúc trên Phố đi bộ mỗi cuối tuần, cảm giác bản thân tuy nhỏ bé mà ấm áp trong lòng. An vui. 2. Nhớ cảm giác bình yên mỗi lúc lang thang trên Đinh Lễ chọn những cuốn sách mà mình yêu thích. 3. Nhớ kem Tràng Tiền. Vừa rẻ vừa ngon. 4. Nhớ những khi lượn lờ quanh phố ẩm thực Hàng Buồm, no đầy hai con mắt. 5. Nhớ Phố bia Tạ Hiện nhạc nhẽo xập xình, nhớ Highland Hàm Cá Mập,… view trọn Hồ Gươm. 6. Nhớ chợ đêm đi bộ mỏi chân xem được tỉ thứ nhưng chẳng bao giờ mua được gì. 7. Bánh Roti hàng Gai miễn bàn, gà rang muối rồi cả phở trộn, mì gà tiềm,... chỉ lên phố ăn mới đã. *Quận Thanh Xuân 1. Nhớ mùi khói thuốc lá Thăng Long trên đường Nguyễn Trãi. 2. Nhớ trà đá trà chanh Ngã Tư Sở. Ngay đấy còn có hàng Bún bò Huế 65 ngon mất lưỡi. 3. Nhớ cảm giác đông người ở đường Nguyễn Trãi mỗi 5h chiều. Chen mãi không qua được ngã 4 Khuất Duy Tiến. 4. Nhớ gà rút xương ở Vũ Trọng Phụng, cơm ngũ vị ở Khương Trung, bún cá Nguyễn Tuân,… 5. Nhớ cả một nền văn hóa ẩm thực trước cổng trường Đại học Hà Nội. 6. Khu Văn Quán lượn đường mát đỉnh cao. *Quận Tây Hồ 1. Nhớ bánh tôm, bún ốc bún riêu Phủ Tây Hồ. 2. Nhớ cảm giác tự do khi lượn xe trên đường Thanh Niên mỗi buổi chiều hay khi đi bộ trên phố đi bộ Trịnh Công Sơn. 3. Nhớ những chiều hoàng hôn trên Hồ Tây lộng gió cùng một chút Strongbow mát lạnh. 4. Nhớ 6 Degrees Nghi Tàm, Kaffeine cafe Thụy Khê, Cup of Tea Coffee & Bistro Nguyễn Đình thi hay Santorini Vibes Nhật Chiêu, đồ uống thì ngon mà view lại đẹp. 5. Nhớ các thiên đường mua sắm ở Tô Ngọc Vân, Xuân Diệu, Yên Phụ. 6. Nhớ chợ Hoa Quảng Bá sớm tinh mơ vừa rẻ vừa nhiều hoa xinh. *Quận Cầu Giấy 1. Nhớ những chiều tắc đường kẹt xe ở Xuân Thuỷ. 2. Nhớ Chợ Nhà Xanh chẳng bao giờ mua được gì nhưng vẫn cứ thích lượn. 3. Nhớ cảm giác ngồi cafe Cuối Ngõ, nghe nhạc Trịnh Công Sơn. 4. Nhớ những hôm đi Chùa Hà cầu duyên. Nhưng sau cùng thì vẫn chưa có người yêu. 5. Nhớ những hôm Hà Nội vào thu sớm, tạt qua Làng Vòng mua chút cốm thơm. 6. Nhớ trà đá vỉa hè Duy Tân lúc nào cũng đông đúc đến tận đêm. Quận Hai Bà Trưng 1. Nhớ Bánh gà Hồng Mai, nem nướng Nha Trang Ngõ Tự Do, cả thiên đường ăn xiên ở Tạ Quang Bửu. 2. Nhớ rạp CGV, khu World Game, Mê cung Mirror Maze ở Vincom Bà Triệu, Thủy cung ở Times City. 3. Nhớ cảnh mua sắm xuyên đêm ở chợ Hôm, chợ Mơ. 4. Nhớ cả khu tổ hợp nghệ thuật - vui chơi giải trí xịn xò bậc nhất Hà Thành: Hanoi Creative City ở Lương Yên. 5. Nhớ các trò chơi thể thao giải trí bạt nhún ở Jump Area – Tăng Bạt Hổ. Thế còn bạn, những ngày này bạn nhớ điều gì nhất?  Photoby: Thodayo | Hoa Đặng ———————— #ChuyencuaHanoi © Nội dung được sáng tạo bởi đội ngũ fanpage Chuyện của Hà Nội. Vui lòng tôn trọng quyền tác giả trên mỗi bài viết. Cảm ơn bạn vì đã theo dõi và ủng hộ chúng mình!"
123562745920663,"""Tại sao đèn đường chủ yếu là tông màu ấm? Có lẽ là để sưởi ấm những người qua đường cô đơn."" 📸"
2812676645481893,"| 01 . 04 . 2020 Lại sắp kết thúc thêm một ngày để con người dối lừa nhau, hoặc là mượn ngày nói dối để sống thật với nhau. Hãy cùng Chuyện của Hà Nội vietsub lại những câu chuyện ngày Cá tháng Tư dưới đây, để xem bạn có gặp được chính bản thân mình không nhé! 😤 thedonutnose"
2821156031300621,"Xin chào các bạn,  Đây là việc cuối cùng mình muốn làm, đó là mang những điều này lên fanpage để nói.  Thực sự, Chuyện của Hà Nội, Chuyện của Sài Gòn và Chuyện của Đà Lạt là những dự án tâm huyết của chúng mình đã lâu. Và chúng mình đã dành rất nhiều thời gian và chất xám để xây dựng được. Trong đó Chuyện của Hà Nội là dự án có từ năm 2018, khi mà chưa có nhiều fanpage Hà Nội khác như bây giờ tồn tại. Chúng mình chia sẻ nội dung tự sáng tạo, độc quyền, chăm chút từng câu từng chữ, mất rất nhiều thời gian cho 1 post để dành cho độc giả. Sau một thời gian, có rất nhiều fanpage cùng dạng nội dung xuất hiện, chúng mình rất vui vì hệ sinh thái social cho cộng đồng được đa dạng, nhưng lại có một số bên hoàn toàn dùng chất xám của chúng mình để bật lên. Repost lại những post cũ của chúng mình không ghi nguồn, modify trắng trợn rồi nói rằng tham khảo. Thậm chí còn dùng tên y hệt, format y hệt để lên bài. Việc bị đánh cắp tài sản đã khiến mình thấy quá quắt lắm rồi, đánh cắp chất xám thì chúng mình thấy các bạn thực sự thiếu đạo đức làm việc. Mình không biết các bạn có thanh thản không khi làm việc này, nhưng thấy bài mà chúng mình tỉ mỉ viết, chúng mình vui khi chia sẻ đang bị ăn cắp, đổi tên, chỉnh sửa trắng trợn, mình thấy các bạn không đủ tư cách để giữ bất cứ một vai trò nào trong xã hội.  Trừ vai trò là một kẻ cắp. Đây không phải trường hợp đầu tiên mình bị lấy bài, nhưng là trường hợp đầu tiên block comment của mình, không thèm phản hồi khi mình ngỏ lời muốn giải đáp.  Mình biết có rất nhiều người cũng đã bị như mình, nên mình hi vọng các bạn chia sẻ cho những kẻ đó đọc được, và cộng đồng không bị lừa bởi những người làm việc trộm cắp chất xám. Cảm ơn mọi người vì đã ủng hộ chúng mình trong một thời gian dài đến vậy. Chúc mọi người có một buổi tối vui vẻ, | Benng"
226090908742996,"NĂM 17 TUỔI... có một chàng trai vuột mất thứ đẹp đẽ của cuộc đời Câu chuyện kí ức đôi khi thật lạ lùng. Tôi nhớ ngày trước nó đẹp lắm, pha trộn đầy đủ tất cả các màu : vui vẻ có, nồng nhiệt có, trầm mặc có, đau khổ có,... Màu gì cũng đầy đủ, và màu tôi thích nhất tôi mang vẽ về hình hài của em-  Cô gái của ngày xưa. Trong mắt mọi người em rất bình thường, nhưng trong cuộc đời tôi em lại chính là điều đặc biệt nhất. Tôi nhớ tôi của tôi năm ấy, vì em mà thay đổi cả thế giới, em chính là cô gái bước vào cuộc đời tôi, cầm cây cọ vẽ nên mảng sáng nhất của thanh xuân. Để rồi tôi, một thằng con trai 17 tuổi ngỡ như mình cầm nắm cả bầu trời trong tay. Cứ vậy mà tự tin, cứ vậy mà tự đắc rồi một ngày vì cái tôi ích kỷ mà vuột mất em... Như chưa từng có...  Và rồi ... Cây cọ đó em vứt thẳng xuống nền nhà, nét mực còn dang dở, cuộc đời tôi như trở nên lộn xộn. Một đống hỗn độn, màu sắc chẳng còn vừa mắt, mù mịt rồi bời, thứ cuối cùng mà chẳng biết hay con tim kịp lưu giữ là hình bóng em lúc quay ngoặt đi. Cái khoảnh khắc bất lực nhất, tôi biết chẳng thể giữ nổi em nữa. Trách ai được, em quá tuyệt vời nhưng em đến quá sớm tôi chưa thể kịp trưởng thành. Đến lúc trưởng thành thì chẳng thể có lại em. Thứ tình cảm chân thành nhất để lại năm 17, còn tôi bây giờ chỉ kịp dọn lại đống vụn vỡ bao năm của cõi lòng. Thứ hình ảnh em để lại cũng mờ đi theo năm tháng, tôi cũng vậy, mảng màu sắc không còn tươi nữa mà thay bằng màu vàng trầm ảm đạm. Nhạt nhẽo như kí ức mà không có em. Năm ấy, tôi không hề biết đã có người chân thành mang cả thanh xuân muốn gắn bó với tôi đến vậy. Còn tôi như thằng khờ, cứ ngỡ em sẽ mãi bên tôi, chỉ là thằng khờ đó không biết, có một ngày màu hồng trở thành màu xám.  📖Written by Meei  📷Photo by human of films ______&______ Không biết cô gái của năm 17 của bạn giờ thế nào rồi?"
2833298603419697,"""Khi bạn làm điều gì đó cao thượng và tốt đẹp mà không ai để ý thấy, đừng buồn. Bởi mặt trời mỗi sáng đều là một cảnh tượng kỳ diễm, thế mà hầu hết khán giả vẫn đều đang ngủ."" ————————— “When you do something noble and beautiful and nobody noticed, do not be sad. For the sun every morning is a beautiful spectacle and yet most of the audience still sleeps”. -John Lennon- Photoby: Sagittarius Kat‎ | TiKahihi"
2820626068020284,"| 05.04.2020 - NHỮNG KỈ NIỆM BẮT CHỐT KHÓ QUÊN | 1. Hôm đấy bà chị mình (làm bác sĩ) đưa cho cái áo blouse nhờ cầm về, cốp chật nên mình khoác luôn. Đến đoạn Nguyễn Chí Thanh bị các anh vẫy vào hỏi thăm, mình bảo anh không cho em đi là bệnh nhân em đi đấy. Thế là được tha :)) 2. Đợt lâu lâu bị bắt đúng hôm thất tình, kiểu buông xuôi, đưa chìa khoá cho anh CA bảo anh cứ thu xe em đi em biết em đi sai rồi, anh thu đi em không mang tiền đóng phạt đâu. Xong lết ra vỉa hè ngồi gọi thằng bạn qua đón, bảo vừa bị người yêu đá với bị bắt xe. Anh CA nghe thế gọi vào trả chìa khóa luôn =))) 3. Chuyện này không phải trải nghiệm của mình nhưng mình ngồi uống nước gần đấy hóng được. Hôm đấy thấy 2 anh giao thông nghe điện thoại rồi ra đường đứng sẵn, 10p sau thì thấy một chị đi qua bị giữ lại. Mình với mấy ông anh tưởng có biến gì căng, hoá ra chị này cãi nhau với chồng rồi bỏ về nhà ngoại, mà chồng chị này lại là CSGT cơ :)) thế là anh chồng gọi ngay cho các đồng nghiệp nhờ chặn chị vợ ở đoạn X đấy. Chị vợ cứ năn nỉ mãi nhưng không đi được, một lúc sau thì anh chồng ra dỗ rồi 2 vợ chồng lại đèo nhau về nhà :)) 4. Vụ của mình cách đây 2 năm rồi. Đêm đấy đấy mình bị túm do bắn tốc độ, vừa vào thì có bạn nữ khác cũng bị túm lỗi vượt đèn đỏ. Bạn ấy ríu rít xin lỗi mà giọng như sắp khóc ấy, hỏi ra thì tại có người nhà đang đi cấp cứu nên vội quá. Thế là bỏ qua vụ phạt, mấy anh cơ động chỉ mình bảo hộ tống bạn ấy ra Bạch Mai, đêm muộn con gái đi 1 mình nguy hiểm. Nhờ các anh mà giờ mình có bạn gái 2 năm rồi! 5. Ừ tất cả những kỉ niệm của các ông sẽ méo thể nào bằng trải nghiệm 2 lần bị người-yêu-cũ tuýt xe của tôi được đâu 🙂 cảm giác ngày gặp lại, mặt đối mặt, kí tên các kiểu nhưng không phải kí tờ đăng kí kết hôn như chúng tôi từng thề ước mà là kí giấy nộp phạt. Chán.  6. Tôi với thằng cùng phòng rủ nhau đi uống cốc nước mía để chia tay thằng kia sang Trung xuất khẩu lao động. Về qua Tân Mai thì bị CSCD hỏi thăm. Không bằng lái - toang hẳn. Nhưng 2 thằng sinh viên cuối tháng đều nghèo rách ra. Thế là 1 anh bảo chạy đi mua cho anh cái bật lửa thì anh tha. Xong bác tạp hoá thấy trông bần bần còn cho luôn không lấy tiền. Thế mà đứa nào bảo Hà Nội không có tình người??? 7. Nhớ năm 2014 bị bắt đoạn Thái Hà, mình với thằng em đèo nhau đi mua xôi. Xong 2 ông cơ động thịt mất hộp của mình, làm 2 thằng hết tiền đã đói vl về còn phải ăn chung hộp xôi 10k bé tí. (Trung Sam) 8. Vợ đang hối về thì bị tuýt, đưa tin nhắn cho CA, xem thế là ông ấy cho đi luôn. Vợ tôi bảo ""Đi đâu cút luôn đi."" 9. Chiều hôm đấy mình đang học thì nghe tin gia đình lại xảy ra chuyện. Thực sự thời gian đó có quá nhiều biến cố xảy ra với mình, nên cái tin chiều hôm đấy như giọt nước tràn ly vậy. Mình quyết định nghỉ tiết sau và xách xe lang thang khắp Hà Nội đến tận khuya, nước mắt nhằng nhịt, vượt cả đèn đỏ mà không để ý (lúc đấy đêm muộn, đường vắng). Thế là 2 chú CSGT vẫy vào, 2 chú nhìn mình một lúc rồi hỏi han làm sao. Lúc đó như kiểu tâm sự có người chia sẻ ấy, mình kể hết cho các chú, vừa kể vừa khóc. Các chú cứ vỗ vai mình bảo cố lên, rồi một chú còn đưa mình cái kẹo (kẹo của con gái chú đưa trước khi chú đi làm). Sau hôm đó mình quyết định nghỉ học ở trường ĐH hiện tại và ôn thi lại để làm CSGT (căn bản mình không hề thích trường lúc đó, chỉ học theo ý bố mẹ). Bây giờ mình công tác trong ngành được 2 năm rồi. —— Còn kỉ niệm của các bạn là gì? Kể cho chúng mình nghe với nhé! thedonutnose ——— #ChuyencuaHanoi © Nội dung được sáng tạo bởi đội ngũ fanpage Chuyện của Hà Nội. Các bạn vui lòng tôn trọng quyền tác giả trên mỗi bài viết và không reup. Cảm ơn vì đã theo dõi và ủng hộ chúng mình ❤️"
2839157789500445,"| 13 . 04 . 2020 Em nghĩ rằng, Hà Nội ngày trở lạnh luôn là nỗi sợ cho những kẻ cô đơn. Mấy ngày nay em cố giữ cho mình bận rộn hết mức từ sáng sớm đến xế chiều để lòng không còn chỗ trống nghĩ suy những điều kỳ lạ, ví như nỗi buồn mất mát năm nào. Một tối mưa phùn. Hai người lặng thinh. Một người quay gót. Người đi rồi, chỉ còn mình em đứng đó quay cuồng với mớ hỗn độn không tài nào sắp xếp được. Em tự hỏi mình còn đợi chờ gì giữa những điều xa xôi ấy? Một bàn tay không còn nắm chặt, một bờ vai đã thôi tựa đầu, một cái ôm chỉ tồn tại trong mơ ước, một nụ hôn tạm biệt nhau rất hờ, một hơi ấm vĩnh viễn không còn tìm thấy đâu nữa - đối với em sự chấm dứt ấy không đơn thuần là một cuộc chia ly từ biệt. Đó những nỗi đau đậm dài, những nỗi đau sẽ giết chết một cuộc đời ngay cả khi họ vẫn đang sống. Vết thương từ một lời chia tay không rỉ máu ngay trong khoảnh khắc người ta không thuộc về nhau nữa, mà ở tháng ngày phía sau - khi những kỉ niệm kéo về trong những đêm rét lạnh. Đứng ngoài ban công, nghe cửa sổ nhà bên vang lên một bài nhạc cũ, em chợt nhận ra ""có rất nhiều điều dù cũ kỹ, dù cần phải bỏ đi và thay mới, chúng ta vẫn ngoan cố ngang nhiên giữ nó lại."" Chúng ta giữ lại như một thói quen.  thedonutnose photoby: @nhii96/instagram"
565868117372588,"|| 20/4/2020 || - Anh!!! Tại sao anh yêu em vậy??? - Anh mà biết vì sao, chắc anh không yêu em nữa rồi. Thế anh lại hỏi em, bao người theo đuổi, sao em chọn anh vậy?? - Hừm.... Vì em thích thế.... Tình yêu nó chẳng tuân theo một quy tắc nào. Đôi khi chỉ vì một lần lỡ hẹn, một cái nắm tay không chặt mà lạc mất nhau, nhưng cũng có khi chỉ là một ánh nhìn, một cử chỉ mà suốt đời không quên.  Tôi cũng trải qua vài ba mối tình, có người tôi thích, có người thích tôi. Nhưng cho đến giờ tôi vẫn ko hiểu tại sao người ta lại có thể thích mình?  Có một câu trả lời mà đến bây giờ tôi vẫn không thể nào quên: ''Trên sân trường, một chàng trai nở nụ cười thật tươi, và thế là em thích''. Sao người ta có thể thích nhau dễ dàng thế, đi chơi với nhau đôi ba lần rồi yêu nhau. Tôi không hiểu... '' Không ai yêu một người phụ nữ vì nàng đẹp hay nàng xấu, ngu ngốc hay thông minh. Chúng ta yêu vì chúng ta yêu ''_ Có lẽ Balzac nói đúng.  Trước khi có câu Trả lời khác hoàn hảo hơn. Tôi tạm tin...."
