fb_id,content
1108501606193521,"Thật đẹp đôi, hãy chúc phúc cho họ."
128449245517941,💥💥💥HÈ ĐẾN TRIỆT LÔNG . TỰ TIN DIỆN VÁY VÓC🤗🤗 ☘️Dọn sạch lông lá chỉ trong 5 phút auto trắng sạch mịn màng không một cọng lông  💯 Chỉ với 1 hộp kem tẩy lông tẩy sạch các loại lông lá :  🌱#LÔNG_TAY  🌱#LÔNG_CHÂN  🌱#LÔNG_NÁCH  🌱#LÔNG_BIKINI 🌱#LÔNG_NGỰC_BỤNG Tẩy sạch hết lông An toàn hiệu quả - tiết kiệm 👉Đặt hàng nhanh tay #inbox  👉#Hotline 0373612523
166170254865702,"Đâu ai lường trước được giây phút chia xa... Giá như đại dịch không xảy ra, biết đâu ... con vẫn đang ở đây cười nói cùng ba mẹ... Ba mẹ sẽ mãi nhớ đến con, cậu con trai ngoan ngoãn, lễ phép của ba mẹ. Sau này ba mẹ sẽ kể cho em con nghe về người anh trai tuyệt vời... --------------------- 3 ngày trước, N.T.K (12 tuổi) được ba đưa vào bệnh viện thăm mẹ và em trai vừa mới sinh. K. nựng, khen em dễ thương và vui mừng vì từ nay mình đã được làm ""anh"". Sáng hôm qua (26/5), thay vì ăn một dĩa cơm tấm trước khi đến trường như mọi lần, K. nói với ba: ""Hôm nay ba cho con ăn mì xào nha ba"". Vậy là ông Trung (cha của K. ) mua cho con hộp mì xào bò rồi chở đến cổng trường THCS Bạch Đằng (quận 3, TP.HCM) . Nhìn theo đứa con trong chiếc áo trắng tinh tươm khuất dần, ông Trung quay xe trở về. Khoảng gần một giờ sau, đang ngồi uống ly cà phê ở quán gần nhà, ông nhận được điện thoại từ cô giáo chủ nhiệm. K. bị cây phượng gãy đổ, đè tử vong ngay giữa sân trường khi hộp mì xào vẫn còn đang ăn dở trên tay. ------------------------ Có nỗi đau nào bằng nỗi đau mất con. Ba mẹ sẽ phải mất một khoảng thời gian dài nữa mới có thể vơi đi phần nào nỗi đau, nỗi nhớ con... Ba mẹ thương con, nhớ con... Nguồn ảnh: Zingnews"
972899186489306,ĐI NGỦ VỚI 1 ƯỚC MƠ!THỨC DẬY VỚI 1 ƯỚC MƠ VÀ MỤC ĐÍCH SỐNG..
286026959467983,Chỉ mong lúc nào gia đình cũng hạnh phúc. Nụ cười luôn thường trực trên môi những đứa con yêu thương của mẹ.
115917236809814,"NHỮNG MẨU CHUYỆN Ý NGHĨA VỢ CHỒNG NÊN ĐỌC 💑💑 1. MẨU CHUYỆN 1: 🔸 Chuyện A: Chồng: ”Tối nay anh đi ăn với bạn bè ở ngoài nhé” Vợ: ”Mấy giờ anh về?” Chồng: ”Trước 9 giờ nhất định sẽ về.” 9 giờ 30 phút, vợ:”Sao anh vẫn chưa về vậy?” Chồng: ”Mười giờ nhất định sẽ về.” 11 giờ, 12 giờ,… Sau đó, cô ấy không gọi điện giục chồng nữa. Bởi vì cô ấy biết rằng, đối với một người đàn ông không giữ lời hứa, mọi câu “nhất định” đều có nghĩa là “chưa chắc”. 🔸 Chuyện B: Chồng: ”Tối nay anh ra ngoài ăn uống với bạn. Khoảng 8 giờ là xong thôi ah. Sau đó hai đứa mình đi dạo lát nhé!” Vợ: ""Sao xong nhanh thế được?” Chồng: ”Cứ yên tâm. Anh đã nói nhất định về là về mà” Gần 8 giờ. Chồng: ”Chuẩn bị đi em. Anh sắp về tới nhà rồi.”. 👉👉 Nên nhớ: Lòng tin được tạo lập từ những điều vô cùng nhỏ nhặt. Nhà cửa hỏng có thể sửa, quần áo rách có thể vá, đồ đạc cũ có thể thay. Nhưng đã là vợ chồng thì đừng nên lừa đối nhau. Một khi đã hết tin tưởng nhau thì khó có thể quay lại như xưa. 2. MẨU CHUYỆN 2: 🔸 Chuyện A: Vợ tới kì sinh lí. Cơ thể không được khỏe, cố gượng đau giặt quần áo, dọn dẹp nhà cửa. Chồng ngồi trước màn hình vi tính chơi game, lướt nét. Vợ làm xong việc, nằm trên giường thở dài một tiếng. Chồng ngó vợ một cái: ”Thật là vất vả cho em quá!”. Sau đó quay đầu, lại dán mắt vào màn hình vi tính. 🔸 Chuyện B: Vợ đến kì sinh lí, khó chịu vô cùng, đứng dậy chuẩn bị giặt quần áo. Chồng ngăn lại: ”Em nằm lên giường nghỉ đi nhanh lên. Để đó cho anh làm!”. 👉👉 Nên nhớ: Điều phụ nữ cần không chỉ là những lời ngon tiếng ngọt. Nịnh cô ấy vài câu, cô ấy có thể mỉm cười với bạn. Thế nhưng chỉ cần thật sự yêu mến che chở, cô ấy sẽ cảm kích bạn cả đời, đồng thời sẽ đền đáp bạn bằng một mái nhà ấm áp hạnh phúc. 3. MẨU CHUYỆN 3: 🔸 Chuyện A: Vợ lấy cho chồng một túi hạt điều, sau đó đi giặt quần áo. Lúc quay lại, hạt điều đã “được” anh chồng ăn hết chỉ còn sót lại vỏ để vợ dọn dẹp.. 🔸 Chuyện B: Vợ lấy cho chồng một túi hạt điều, sau đó đi dọn dẹp nhà cửa. Lúc quay lại, cô trông thấy trên bàn đặt sẵn nhân hạt điều đã được bóc vỏ sẵn để đó… 👉👉 Nên nhớ: Phụ nữ rất nhạy cảm. Cô ấy có thể khoe khoang sự ân cần chăm sóc của bạn đối với cô ấy, cũng như thể khoe chiếc nhẫn kim cương có giá trị vậy. Chỉ mất một chút ân cần là có thể thu lại thứ không thứ giá trị nào so sánh được. 4. MẨU CHUYỆN 4: 🔸 Chuyện A: Hai vợ chồng cùng ngồi xem phim. Vợ: “Anh ơi, làm nước sinh tố uống đi!” Chồng: “Oẳn tù tì, ai thua người đó đi lấy.” Vợ:”Thôi, để em tự đi lấy.” 🔸 Chuyện B: Hai vợ chồng cùng ngồi xem phim. Vợ đứng dậy. Chồng liền hỏi: “Đi đâu thế em?” Vợ: “Em đi làm nước sinh tố uống.” Chồng: “Cứ ngồi đó xem đi, để anh làm cho”. 👉👉 Nên nhớ: Với phụ nữ, yêu cầu duy nhất của họ với đàn ông đó là “yêu thương mình”. Và tình yêu đến từ những điều nhỏ nhặt trong cuộc sống, những điều nhỏ không làm được thì bàn gì đến những chuyện lớn. Xem thêm tại Group Chuyện Mang Thai của Mẹ Nguồn: Sưu tầm"
149017473404315,"🙋MẸ ĐÃ BIẾT CÁCH TẮM AN TOÀN CHO BÉ CHƯA?🙋 🛀 Tắm cho trẻ sơ sinh đối với những mẹ bầu lần đầu chăm con thực sự là một điều khá là khó khăn.  🙉Cách tắm cho trẻ sơ sinh rất quan trọng, đòi hỏi mẹ phải thật cẩn thận vì bé còn rất nhỏ, dễ bị nhiễm trùng rốn hay nước rơi vào tai, mắt bé. 💁Để tắm cho trẻ sơ sinh an toàn và thật kỹ lưỡng, mẹ có thể theo các bước dưới đây. 👉👉Mẹ dừng quên sử dụng Bột tắm trẻ em HiBaby để làm sạch da con mỗi ngày nhe.  👼Việc sử dụng bột tắm trẻ em HiBaby ngay từ khi sinh ra sẽ giúp con giảm nguy cơ mắc các bệnh da liễu như: chàm sữa, hăm tã, rôm sẩy, viêm da cơ địa... 😍Da con luôn mịn màng và sạch khuẩn, có mẹ nào mà không thích cơ chứ 😍 ------------------------------------------ 👶👶𝐁𝐎̣̂𝐓 𝐓𝐀̆́𝐌 𝐓𝐑𝐄̉ 𝐄𝐌 𝐇𝐈 𝐁𝐀𝐁𝐘 là dòng sản phẩm được HiBaby hợp tác cùng các chuyên gia da liễu đầu ngành nghiên cứu và sản xuất nhằm giải quyết các vấn đề về da liễu ở trẻ nhỏ như: chàm sữa, hăm tã, rôm sẩy, mẩn ngứa, viêm da cơ địa... 🌿Bột tắm HiBaby có đầy đủ chứng nhận và giấy tờ pháp lý từ những cơ quan độc lập thuộc Bộ Y tế như: kiểm nghiệm thành phần, hàm lượng, công dụng... 🌿Mỗi lô hàng sản xuất được kiểm định nghiêm ngặt từ khâu sản xuất đến khi đưa ra thị trường. ------------------------------------------ BỘT TẮM HIBABY - CHUYÊN GIA DA LIỄU CỦA TRẺ Hotline:0965885078 Địa chỉ: Số 8, ngõ 116, Nhân Hòa, Thanh Xuân, Hà Nội"
2943698169059357,"THật đẹp đôi phải không, chúc phúc cho họ nhé."
2954882304607610,Thương thật sự. Qua nay đọc tin mình không kìm được nước mắt.  Mẹ em cũng mới sinh em thứ 2 nữa chứ. Thương quá.
2975037885925385,ĐI NGỦ VỚI 1 ƯỚC MƠ!THỨC DẬY VỚI 1 ƯỚC MƠ VÀ MỤC ĐÍCH SỐNG..
