fb_id,content
2253075331651316,E xin phép CT và phó CT và ace QTV và ae TV e lên sóng chút ạ. Rất mong cả nhà bớt chút thời gian vàng ngọc vào ủng hộ động viên và chia sẻ để e có tinh thần và có thêm chút động lực ạ. E xin cảm ơn
452426845419375,Xin lỗi cả nhà. Vì em có việc đột xuất nên k lên sóng được. Em mời cả nhà đón xem cs Đặng Khang ls trang fanpage CLB ạ. Chúc cả nhà btvv https://www.facebook.com/123anhmos/videos/2877330888998238/
446391959356197,Karaoke. Đường tím Bằng Lăng  Cs Hà Đỗ  . Mơi Nam cs song ca http://yt3.piee.anhmos.
447984609196932,Cs Linh Dan Queen ls trên sk fanpage CLB.  Mời Ace đón xem https://m.facebook.com/story.
446997995962260,"CHÚC ANH THÊM TUỔI MỚI NGÀY CÀNG ĐẸP TRAI HƠN,TIỀN LUÔN ĐẦY TÚI,BỤNG NGÀY CÀNG NHIỀU MÚI, NGƯỜI YÊU THÌ PHẢI CHẤT ĐẦY NÚI NHA ANH KKKKKKKKK KKKKKKK KKK😂😂😂😂😂😂😂😁😁😁😁😁😁🎂🎂🎂🎂🎂🎂🎂🎂👏👏👏👏👏👏👏"
451682592160467,Xin chao ca nha i❤️❤️Lien xin phep Len gl vai ck. Xin chúc cả nhà buổi tối vui vẻ
447037719291621,CLB.  Chúc anh Pct  Dương Bình  Tuổi mới  . Sức khoẻ - Hạnh phúc  và  thành công
449590519036341,Mc cô chú anh chị các bạn cuối tuần âm áp hp yêu thương 💗💗💗🎶🎶🎶💗💗🎶💗🎶🎶💗💗🎶💗🎶🎶💗💗Quân Phạm Nguyễn Chí Kiên  Đinh Bá Tuấn Linh HàLinh Linh Pham Linh Linh
448662595795800,Mùa đông về chưa e.  ?
445601479435245,Em lên niêm thần chú cả nhà yêu
447993739196019,Cs Linh Dan Queen  ls trên sk  fanpage  mời Ace đón xem.. https://m.facebook.com/story
2455301954720926,Karaoke.  Hai đứa giận nhau   Giọng nữ Phạm Hiếu  Mời Nam cs Song ca 
2456182997966155,Karaoke.  Thiệp hồng Anh viết tên Em   Cs  Hà Đỗ    Thiếu giọng Nam song ca 
